date_time,category,account,amount,tags,Month,Day_of_Week,Is_Weekend
2025-10-25,Cafe,acct_1,11.0,tag_1,October,Saturday,True
2025-10-25,Public transport,acct_1,5.0,tag_1,October,Saturday,True
2025-10-24,Public transport,acct_2,1.0,tag_1,October,Friday,False
2025-10-24,Taxi,acct_1,10.0,tag_1,October,Friday,False
2025-10-23,Cafe,acct_1,17.0,tag_1,October,Thursday,False
2025-10-21,Public transport,acct_2,1.0,tag_1,October,Tuesday,False
2025-10-21,Public transport,acct_2,2.0,tag_1,October,Tuesday,False
2025-10-21,Cafe,acct_1,9.0,tag_1,October,Tuesday,False
2025-10-21,Cafe,acct_1,6.0,tag_1,October,Tuesday,False
2025-10-20,Public transport,acct_2,2.0,tag_1,October,Monday,False
2025-10-20,Public transport,acct_2,1.0,tag_1,October,Monday,False
2025-10-20,Cafe,acct_1,4.0,tag_1,October,Monday,False
2025-10-19,Gifts,acct_1,43.0,tag_1,October,Sunday,True
2025-10-19,Food,acct_1,18.0,tag_1,October,Sunday,True
2025-10-19,Gifts,acct_3,15.0,tag_1,October,Sunday,True
2025-10-18,Public transport,acct_2,1.0,tag_1,October,Saturday,True
2025-10-18,Food,acct_1,6.0,tag_1,October,Saturday,True
2025-10-18,Leisure,acct_3,29.0,tag_1,October,Saturday,True
2025-10-17,Health,acct_1,70.0,tag_1,October,Friday,False
2025-10-16,Public transport,acct_2,1.0,tag_1,October,Thursday,False
2025-10-16,Cafe,acct_1,5.0,tag_1,October,Thursday,False
2025-10-15,Loan given,acct_1,854.0,tag_1,October,Wednesday,False
2025-10-15,Other,acct_1,11.0,tag_1,October,Wednesday,False
2025-10-15,Food,acct_3,0.0,tag_1,October,Wednesday,False
2025-10-15,Public transport,acct_2,1.0,tag_1,October,Wednesday,False
2025-10-15,Cafe,acct_3,3.0,tag_1,October,Wednesday,False
2025-10-15,Cafe,acct_1,4.0,tag_1,October,Wednesday,False
2025-10-14,Public transport,acct_2,1.0,tag_1,October,Tuesday,False
2025-10-14,Food,acct_3,1.0,tag_1,October,Tuesday,False
2025-10-14,Gifts,acct_1,27.0,tag_1,October,Tuesday,False
2025-10-14,Food,acct_3,3.0,tag_1,October,Tuesday,False
2025-10-14,Taxi,acct_1,9.0,tag_1,October,Tuesday,False
2025-10-13,Food,acct_3,15.0,tag_1,October,Monday,False
2025-10-13,Cafe,acct_3,9.0,tag_1,October,Monday,False
2025-10-13,Food,acct_3,1.0,tag_1,October,Monday,False
2025-10-13,Leisure,acct_3,35.0,tag_1,October,Monday,False
2025-10-12,Public transport,acct_1,5.0,tag_1,October,Sunday,True
2025-10-10,Public transport,acct_2,1.0,tag_1,October,Friday,False
2025-10-10,Food,acct_1,15.0,tag_1,October,Friday,False
